,State,County,TotalPop,Hispanic,White,Black,Native,Asian,Pacific,IncomePerCap,Poverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Average_House_Price
0,Alabama,Autauga County,55036,2.7,75.4,18.9,0.3,0.9,0.0,27824,13.7,35.3,18.0,23.2,8.1,15.4,86.0,9.6,0.1,0.6,1.3,2.5,25.8,74.1,20.2,5.6,0.1,5.2,165762.73367031896
1,Alabama,Baldwin County,203360,4.4,83.1,9.5,0.8,0.7,0.0,29364,11.8,35.7,18.2,25.6,9.7,10.8,84.7,7.6,0.1,0.8,1.1,5.6,27.0,80.7,12.9,6.3,0.1,5.5,220506.5161600895
2,Alabama,Barbour County,26201,4.2,45.7,47.8,0.2,0.6,0.0,17561,27.2,25.0,16.8,22.6,11.5,24.1,83.4,11.1,0.3,2.2,1.7,1.3,23.4,74.1,19.1,6.5,0.3,12.4,102728.58065623802
3,Alabama,Bibb County,22580,2.4,74.6,22.0,0.4,0.0,0.0,20911,15.2,24.4,17.6,19.7,15.9,22.4,86.4,9.5,0.7,0.3,1.7,1.5,30.0,76.0,17.4,6.3,0.3,8.2,136090.57659066262
4,Alabama,Blount County,57667,9.0,87.4,1.5,0.3,0.1,0.0,22021,15.6,28.5,12.9,23.3,15.8,19.5,86.8,10.2,0.1,0.4,0.4,2.1,35.0,83.9,11.9,4.0,0.1,4.9,149837.83135093778
6,Alabama,Butler County,20126,0.3,52.2,44.7,0.1,1.1,0.0,19004,24.4,26.9,17.3,18.5,11.6,25.7,83.6,12.6,0.0,0.9,0.9,2.0,23.2,79.1,15.3,5.3,0.3,7.6,93359.46624386932
7,Alabama,Calhoun County,115527,3.6,72.7,20.4,0.2,1.0,0.0,23638,18.6,29.0,17.5,23.7,10.4,19.4,85.0,9.2,0.2,1.3,1.1,3.2,24.8,74.9,19.9,5.1,0.1,10.1,107190.90899820962
8,Alabama,Chambers County,33895,2.2,56.2,39.3,0.3,1.0,0.0,22002,18.8,24.3,13.5,23.0,11.6,27.6,87.1,9.7,0.2,0.6,0.5,2.0,23.6,84.5,11.8,3.7,0.0,6.4,89598.10888039805
9,Alabama,Cherokee County,25855,1.6,91.8,5.0,0.5,0.1,0.0,23010,16.1,28.8,14.8,18.1,11.9,26.5,85.0,12.1,0.4,0.3,0.3,2.0,26.5,74.8,17.1,8.1,0.0,5.3,141706.6277697631
10,Alabama,Chilton County,43805,7.7,80.4,9.5,0.4,0.4,0.0,23368,19.4,25.3,14.5,23.7,15.5,21.0,83.2,12.6,0.1,0.6,1.8,1.7,32.5,81.1,14.0,4.5,0.4,6.7,138010.9870031246
12,Alabama,Clay County,13407,3.1,80.2,14.7,0.9,0.0,0.0,21330,19.1,22.2,14.6,18.4,12.9,31.9,87.5,6.0,0.0,2.8,0.6,3.0,30.3,77.8,14.5,7.7,0.0,6.4,109711.29128714075
13,Alabama,Cleburne County,14939,2.4,92.7,2.8,0.3,0.5,0.0,20873,19.1,25.7,11.4,23.2,18.0,21.7,81.8,14.5,0.0,0.9,0.1,2.7,33.2,76.1,15.7,8.2,0.0,7.8,135057.05957736415
14,Alabama,Coffee County,51073,6.7,71.0,17.1,1.0,1.3,0.0,26216,16.1,31.6,17.3,21.4,13.1,16.7,86.6,8.1,0.0,1.0,1.4,2.8,21.7,73.6,20.7,5.6,0.1,6.0,131481.2192364392
15,Alabama,Colbert County,54435,2.4,78.8,15.9,0.7,0.5,0.0,23675,16.8,27.1,15.4,26.0,11.2,20.3,89.1,7.3,0.1,0.7,0.8,2.0,23.1,78.1,16.1,5.5,0.3,6.9,119059.770270343
16,Alabama,Conecuh County,12649,1.8,50.3,46.3,0.2,0.0,0.0,16337,26.4,15.9,19.7,24.3,12.8,27.4,90.0,6.7,0.4,0.8,0.4,1.7,29.6,79.5,12.3,7.2,1.0,14.5,98771.33616981619
17,Alabama,Coosa County,10955,0.1,65.3,33.2,0.1,0.0,0.0,20342,14.4,17.6,23.2,23.7,14.5,20.9,83.2,9.7,0.6,1.7,0.6,4.2,29.8,78.8,15.9,5.4,0.0,11.3,117902.3214700102
18,Alabama,Covington County,37519,1.6,83.5,13.0,0.3,0.4,0.0,22431,17.6,29.2,14.3,22.2,15.8,18.4,86.8,8.6,0.2,1.1,1.5,1.9,25.2,80.0,13.2,6.7,0.1,10.7,103634.82558658607
19,Alabama,Crenshaw County,13866,1.8,71.2,23.1,0.8,1.4,0.0,21580,17.6,26.4,13.1,24.1,13.2,23.3,81.2,12.2,0.1,1.7,0.8,4.0,28.6,73.0,19.1,7.8,0.2,6.4,88899.23248884933
20,Alabama,Cullman County,81703,4.2,92.3,1.1,0.4,0.6,0.0,21857,16.4,29.3,14.6,23.4,14.0,18.6,88.3,8.4,0.1,0.6,0.6,2.0,26.5,81.3,11.9,6.3,0.4,5.8,151495.14545740501
21,Alabama,Dale County,49393,6.1,69.5,19.2,0.5,0.9,0.0,23194,19.6,28.2,15.3,26.6,13.7,16.1,87.1,6.7,0.1,2.1,1.8,2.2,20.7,73.6,20.7,5.6,0.2,10.4,97424.11248783233
23,Alabama,Elmore County,80989,2.9,73.4,21.2,0.3,0.6,0.0,26251,13.5,34.8,13.2,26.3,11.0,14.7,86.2,10.2,0.1,0.6,0.6,2.2,28.0,72.9,21.4,5.6,0.1,7.3,169803.22964192746
24,Alabama,Escambia County,37621,2.2,60.2,32.2,3.6,0.4,0.1,18164,23.8,24.6,21.2,24.6,11.3,18.3,91.3,7.0,0.1,0.3,0.5,0.8,22.6,75.6,19.7,4.6,0.1,13.7,95469.25159656012
25,Alabama,Etowah County,103132,3.7,78.3,15.4,0.5,0.7,0.1,22278,17.9,29.7,18.5,21.8,9.4,20.5,84.8,9.2,0.3,0.6,0.7,4.4,24.0,80.3,13.9,5.5,0.2,7.6,102582.51696601791
26,Alabama,Fayette County,16657,1.7,85.0,11.5,0.0,0.5,0.0,21191,18.1,29.0,17.9,18.9,10.8,23.5,84.2,11.6,0.0,1.3,0.5,2.4,27.9,79.6,15.4,4.8,0.2,8.4,79685.50718122516
27,Alabama,Franklin County,31507,16.3,77.7,4.7,0.2,0.4,0.1,19314,23.0,24.4,13.9,21.1,11.9,28.7,84.9,10.1,0.2,0.2,2.7,1.9,28.4,78.5,15.6,6.0,0.0,8.2,94614.12385246826
28,Alabama,Geneva County,26572,3.8,84.0,9.2,0.6,0.4,0.0,21084,22.5,22.9,17.3,21.5,19.1,19.3,83.5,10.3,0.0,0.6,2.4,3.1,27.2,73.8,16.5,9.4,0.3,8.9,113196.92357487074
31,Alabama,Henry County,17110,2.5,68.7,27.8,0.0,0.0,0.0,23983,13.7,32.8,19.0,19.4,11.0,17.8,85.9,7.5,0.0,0.7,3.3,2.6,25.6,80.5,14.7,4.8,0.1,6.7,121876.67246100919
32,Alabama,Houston County,104108,3.2,67.2,26.5,0.3,0.8,0.0,24781,18.5,31.1,18.6,25.7,10.2,14.3,89.2,6.9,0.1,0.7,0.8,2.3,21.3,81.9,12.1,5.8,0.2,7.6,124963.0041655784
33,Alabama,Jackson County,52326,2.9,89.3,3.2,1.0,0.5,0.1,20946,19.0,26.1,12.9,21.5,11.3,28.1,87.0,8.4,0.1,1.3,0.9,2.3,25.7,77.4,15.5,7.0,0.2,7.7,120158.72439392602
34,Alabama,Jefferson County,659460,3.7,50.4,42.4,0.2,1.5,0.0,29456,17.6,38.8,16.9,25.3,7.3,11.6,84.4,9.4,0.9,1.4,1.0,2.8,23.8,81.8,13.5,4.5,0.2,7.7,127101.42836400587
35,Alabama,Lamar County,14021,1.5,86.0,10.8,0.3,0.0,0.0,21152,23.1,28.8,14.5,18.9,13.4,24.4,84.4,13.8,0.6,0.2,0.1,1.0,28.1,76.6,18.5,3.8,1.0,7.9,84774.3937914333
36,Alabama,Lauderdale County,92590,2.5,84.9,9.8,0.4,0.7,0.0,25803,16.3,31.2,18.6,24.4,10.6,15.2,88.0,7.7,0.2,1.7,0.7,1.8,24.1,77.6,15.6,6.6,0.1,6.6,130238.1945741222
37,Alabama,Lawrence County,33288,2.1,76.6,11.4,5.2,0.1,0.0,22419,16.6,23.6,15.4,18.4,15.0,27.5,86.6,9.3,0.1,0.9,0.5,2.5,28.0,80.6,14.2,4.8,0.4,7.2,135187.02423387294
38,Alabama,Lee County,156597,3.7,67.6,22.9,0.1,3.8,0.0,26170,22.0,41.0,16.6,22.7,7.1,12.6,84.7,8.1,0.8,1.9,1.0,3.5,22.2,77.1,18.3,4.4,0.2,5.7,193662.58599952914
39,Alabama,Limestone County,91695,5.8,77.2,13.1,0.7,1.2,0.0,26685,14.8,36.1,15.5,21.5,11.3,15.7,88.3,7.5,0.1,0.5,0.8,2.8,25.7,77.3,16.3,6.2,0.2,7.1,180918.6149011552
42,Alabama,Madison County,353213,4.7,65.1,24.0,0.6,2.5,0.1,34232,13.6,46.3,15.2,21.6,6.4,10.5,87.7,6.3,0.2,0.8,1.5,3.4,21.3,76.3,19.0,4.5,0.2,6.5,170209.3586368511
44,Alabama,Marion County,30058,2.5,91.9,3.2,0.4,0.3,0.0,21835,17.6,25.6,16.4,23.7,11.6,22.8,85.3,10.1,0.0,0.5,1.6,2.4,23.2,77.6,15.8,6.2,0.4,5.5,98711.61196552932
45,Alabama,Marshall County,94738,13.3,81.8,2.2,0.5,0.6,0.1,22710,21.0,28.3,15.6,22.1,13.1,20.9,84.8,10.8,0.3,1.3,0.4,2.4,23.9,79.2,13.5,7.2,0.2,6.5,126260.45830017563
46,Alabama,Mobile County,414328,2.8,57.5,35.2,0.6,1.9,0.0,24347,19.3,32.3,17.7,25.5,9.9,14.7,86.1,7.4,0.5,1.1,0.8,4.1,24.8,82.0,13.1,4.6,0.2,7.5,114344.36492049799
49,Alabama,Morgan County,119157,8.0,76.4,12.3,0.5,0.7,0.0,25013,16.6,30.3,16.2,23.5,10.9,19.0,89.7,7.1,0.1,0.8,0.8,1.5,24.1,81.9,12.8,5.0,0.3,6.5,135136.4278071572
51,Alabama,Pickens County,20170,4.1,54.1,40.5,0.1,0.1,0.0,20089,22.9,22.6,17.4,22.4,12.7,24.9,82.6,10.6,0.9,1.6,0.3,4.0,29.5,77.0,18.1,4.6,0.3,12.2,102533.47468286556
52,Alabama,Pike County,33287,0.8,56.4,37.9,0.6,2.2,0.0,20808,26.3,31.5,16.2,24.4,8.9,18.9,84.6,7.9,0.0,2.2,0.8,4.6,20.4,76.1,18.2,5.6,0.2,8.7,125092.63695469646
53,Alabama,Randolph County,22530,3.0,75.3,19.4,0.2,0.2,0.2,20983,18.7,23.4,13.4,21.1,12.8,29.3,85.5,9.1,0.1,0.4,1.0,4.0,26.3,79.4,12.1,8.3,0.1,5.8,120253.10139158095
54,Alabama,Russell County,58480,5.2,47.8,42.4,0.4,0.7,0.2,21279,20.9,28.7,20.2,25.2,9.4,16.4,86.0,8.5,0.3,1.4,1.1,2.8,24.1,76.1,20.0,3.8,0.1,9.7,111165.14056526833
55,Alabama,Shelby County,208721,5.8,78.5,11.7,0.2,1.9,0.0,35330,8.3,44.3,13.7,26.8,7.4,7.7,86.2,7.3,0.1,0.7,0.8,4.9,28.0,82.2,12.7,4.9,0.3,4.3,219902.59580840077
57,Alabama,Talladega County,80888,2.2,63.1,32.1,0.3,0.6,0.0,21382,19.3,28.6,16.3,22.2,10.4,22.5,83.7,10.3,0.5,1.6,1.2,2.6,24.8,79.0,15.9,4.9,0.3,10.0,105386.55752415817
58,Alabama,Tallapoosa County,40756,2.4,68.9,27.2,0.4,0.4,0.0,22430,21.2,28.3,15.1,21.0,11.7,23.9,85.0,10.1,0.1,0.9,1.0,2.9,25.2,81.2,13.8,4.7,0.3,9.2,136879.12179061878
59,Alabama,Tuscaloosa County,204424,3.5,62.4,31.2,0.1,1.5,0.0,24895,17.3,35.8,17.5,20.9,8.7,17.2,85.6,8.5,0.5,1.5,1.0,3.1,22.3,77.4,18.5,4.0,0.1,6.7,148441.4710629248
60,Alabama,Walker County,64927,2.4,89.4,6.0,0.1,0.5,0.0,21217,21.5,26.3,17.7,23.4,14.3,18.3,85.8,10.5,0.3,1.1,0.9,1.4,29.2,79.9,14.3,5.7,0.1,10.0,121769.32169188373
61,Alabama,Washington County,16746,0.5,65.1,24.6,7.5,0.9,0.0,23239,22.0,20.6,15.7,21.9,19.3,22.4,83.2,13.5,0.0,0.2,1.3,1.8,35.2,79.0,15.6,5.2,0.3,11.0,105129.86435226287
63,Alabama,Winston County,23968,3.0,94.1,0.5,0.3,0.3,0.0,20580,18.7,23.3,15.1,22.1,12.2,27.2,82.6,12.5,0.0,0.7,1.8,2.3,27.8,75.8,14.5,9.6,0.1,9.4,126662.5623110269
64,Alaska,Fairbanks North Star Borough,100031,7.7,71.1,4.0,6.3,3.0,0.4,35328,7.7,37.6,15.6,23.2,13.9,9.6,74.8,15.0,0.9,4.1,2.6,2.7,18.9,65.4,30.0,4.4,0.2,8.0,235228.62911818144
66,Alaska,Ketchikan Gateway Borough,13745,4.8,64.4,0.5,13.5,7.8,0.0,33771,10.6,29.7,17.2,27.5,12.0,13.7,66.4,16.6,3.1,8.3,2.9,2.7,13.4,65.3,26.1,8.0,0.5,7.0,279698.9573040454
71,Arizona,Cochise County,126516,35.0,55.7,3.6,0.9,1.8,0.4,24896,18.1,34.4,24.3,24.1,10.1,7.2,79.1,10.3,0.7,2.8,2.7,4.4,20.5,63.6,29.9,6.1,0.4,7.6,150241.39624392267
73,Arizona,Gila County,53145,18.6,62.8,0.4,15.6,0.9,0.0,22433,21.9,31.6,22.8,21.4,15.3,8.9,78.2,12.8,0.1,2.8,1.1,5.0,18.7,71.0,23.1,5.7,0.2,11.7,198770.09783717335
74,Arizona,Graham County,37700,32.5,51.2,1.8,12.6,0.7,0.2,17874,21.4,28.3,21.1,23.7,15.7,11.3,76.8,15.1,1.1,2.1,1.7,3.3,20.9,72.7,23.3,3.9,0.2,12.2,165771.8207678382
75,Arizona,La Paz County,20477,26.3,58.7,0.8,11.1,0.8,0.2,21707,19.7,26.4,26.8,18.4,18.2,10.1,70.5,9.3,0.6,8.2,3.2,8.3,12.9,67.7,25.6,6.7,0.0,9.5,156720.00522900748
77,Arizona,Mohave County,204691,15.9,78.0,1.0,2.1,1.2,0.1,23527,18.6,24.3,25.4,26.8,10.9,12.7,79.9,12.6,0.9,1.5,2.1,3.1,20.4,78.6,14.1,7.1,0.2,10.1,189318.08985809903
79,Arizona,Pima County,1007257,36.6,52.6,3.2,2.4,2.6,0.1,27323,18.3,36.4,21.5,24.9,8.7,8.5,76.5,10.0,2.7,2.3,3.6,4.8,24.5,75.7,17.6,6.5,0.2,8.4,194775.46456250208
80,Arizona,Pinal County,405537,29.6,57.4,4.3,4.3,1.6,0.3,22944,15.5,29.4,22.8,25.5,10.5,11.8,78.8,11.7,0.2,1.7,2.0,5.5,31.0,77.2,16.9,5.7,0.2,7.8,188644.6440984216
82,Arizona,Yavapai County,220972,14.3,80.9,0.5,1.5,0.9,0.0,27504,14.7,31.9,22.7,24.5,11.1,9.8,75.2,11.8,0.3,3.1,2.2,7.3,23.2,76.4,14.2,9.3,0.1,7.3,275077.26372352446
84,Arkansas,Arkansas County,18352,3.0,70.2,26.0,0.0,0.0,0.0,23766,20.7,27.7,15.5,23.6,8.5,24.7,80.8,11.5,0.0,3.1,1.5,3.1,14.6,75.7,15.5,8.0,0.9,8.5,94266.77708658601
85,Arkansas,Ashley County,20771,5.2,68.0,25.6,0.2,0.0,0.0,20703,21.3,27.5,16.8,18.9,13.7,23.0,85.1,7.8,0.2,2.3,3.0,1.6,20.4,78.8,18.1,2.7,0.4,9.9,64820.10678948229
86,Arkansas,Baxter County,41093,2.1,95.1,0.2,0.5,0.4,0.0,24737,12.6,30.1,19.0,22.9,10.5,17.6,84.1,9.2,0.4,2.4,0.7,3.3,16.4,79.5,11.7,8.6,0.2,5.8,143349.60024493546
87,Arkansas,Benton County,251823,16.3,74.2,1.6,1.4,3.7,0.5,30611,10.5,37.6,13.4,26.0,8.7,14.4,85.3,8.5,0.1,1.6,0.8,3.7,19.9,86.0,8.2,5.7,0.1,3.1,185302.5760613738
88,Arkansas,Boone County,37212,2.3,94.2,0.4,1.1,0.5,0.1,22288,15.8,29.8,19.5,24.8,9.7,16.2,82.7,11.1,0.1,1.0,1.3,3.8,19.4,78.4,13.1,8.2,0.3,6.1,124535.5489929507
89,Arkansas,Bradley County,10994,14.8,55.9,29.1,0.0,0.0,0.0,21575,26.4,25.9,16.6,13.8,18.4,25.3,82.2,9.6,0.0,1.0,2.8,4.5,22.0,74.0,19.0,7.0,0.0,9.4,73560.82969092406
90,Arkansas,Calhoun County,5194,3.9,72.6,21.9,0.1,0.2,0.2,22866,19.6,24.5,13.8,15.8,16.3,29.6,87.4,5.4,0.5,1.8,1.7,3.2,24.4,73.5,23.7,2.8,0.0,5.7,91156.96572146034
91,Arkansas,Carroll County,27782,14.8,80.6,0.5,0.6,1.0,0.6,21754,15.7,27.5,18.5,20.1,11.2,22.7,80.2,10.5,0.0,3.8,0.5,5.0,19.8,77.6,13.2,9.1,0.1,5.1,146517.20190166164
93,Arkansas,Clark County,22495,4.6,69.1,23.8,0.3,0.7,0.0,20382,21.5,33.6,20.6,23.7,7.8,14.3,78.8,12.6,0.4,3.7,0.7,3.8,21.3,75.8,18.7,5.3,0.2,4.5,101086.5615661837
94,Arkansas,Clay County,15190,1.9,95.8,0.7,0.5,0.0,0.0,19171,22.3,22.3,18.3,24.0,12.1,23.3,84.9,9.6,0.0,3.1,0.5,1.9,23.3,80.6,11.5,7.9,0.0,5.3,62280.232563527505
95,Arkansas,Cleburne County,25361,2.5,94.8,0.6,0.7,0.8,0.0,26189,15.4,27.7,18.8,20.5,13.2,19.8,80.9,10.9,0.0,1.4,1.5,5.2,26.1,77.3,13.4,9.1,0.3,5.5,155627.89563351285
96,Arkansas,Cleveland County,8332,1.8,84.7,11.0,0.4,0.1,0.0,23171,19.3,30.1,13.7,20.8,17.5,18.0,85.0,8.1,0.5,3.1,2.3,1.0,29.6,73.1,22.6,4.3,0.0,6.6,128242.20898242413
97,Arkansas,Columbia County,23992,2.5,59.4,34.9,0.3,1.1,0.0,20296,25.1,28.9,18.1,23.4,10.7,18.9,86.6,6.8,0.1,4.3,0.3,2.0,17.3,77.5,17.2,5.2,0.1,9.5,112457.65453773836
98,Arkansas,Conway County,20954,3.8,81.8,11.0,0.3,0.1,0.0,22365,18.5,26.3,16.6,24.5,17.5,15.0,81.7,12.4,0.2,1.1,1.4,3.2,25.8,79.4,14.2,6.3,0.1,7.1,106080.31893213076
99,Arkansas,Craighead County,104246,4.9,77.3,13.4,0.2,1.1,0.1,25594,18.3,34.3,17.1,22.4,9.6,16.5,82.2,11.3,0.2,2.3,0.7,3.3,18.5,80.1,13.4,6.2,0.2,6.0,137229.61530209574
100,Arkansas,Crawford County,62119,7.3,85.0,1.3,1.6,1.8,0.0,22104,16.6,29.7,16.4,23.7,10.6,19.6,86.9,8.5,0.2,2.1,0.3,2.0,22.4,82.6,13.6,3.7,0.1,6.2,125595.753530971
101,Arkansas,Crittenden County,49278,2.4,43.2,48.9,0.3,0.7,0.1,20721,23.5,29.4,18.4,23.1,10.2,18.8,82.1,10.1,0.3,1.7,2.4,3.4,19.9,76.9,16.5,6.5,0.2,8.4,111223.11041077203
102,Arkansas,Cross County,17164,1.9,73.0,22.7,0.0,0.1,0.0,22894,18.0,26.0,16.0,25.5,13.4,19.1,79.9,12.8,0.1,1.9,1.7,3.5,23.9,72.3,20.2,6.9,0.5,6.8,96781.35937253326
103,Arkansas,Dallas County,7585,3.1,53.2,40.0,0.4,1.6,0.2,18309,13.2,18.6,22.9,18.9,12.6,26.9,75.0,15.4,0.0,5.6,2.2,1.9,27.5,72.2,23.7,3.8,0.3,6.4,88542.26266615023
104,Arkansas,Desha County,12094,5.8,45.7,47.5,0.1,0.1,0.0,18187,32.6,27.4,17.7,23.3,17.0,14.5,85.4,9.3,0.2,1.5,2.1,1.5,19.3,68.6,26.9,4.5,0.0,12.2,70072.92994983953
105,Arkansas,Drew County,18620,3.1,66.9,28.8,0.1,0.2,0.0,20300,24.4,34.2,17.9,25.2,9.0,13.7,79.0,15.1,0.0,2.9,1.3,1.7,21.7,71.0,21.9,7.0,0.0,9.0,115623.00711562483
106,Arkansas,Faulkner County,121282,4.0,80.6,11.4,0.3,1.3,0.1,25240,16.3,36.0,17.4,25.1,10.4,11.1,83.5,9.7,0.1,1.9,1.4,3.4,24.0,78.3,16.0,5.6,0.1,5.1,163821.5983643617
107,Arkansas,Franklin County,17803,2.9,92.4,1.0,1.6,0.5,0.1,19988,21.9,27.5,15.8,23.8,11.5,21.4,81.3,9.7,0.9,2.4,0.6,5.1,26.8,74.1,20.0,5.6,0.3,6.6,99856.36384126836
108,Arkansas,Fulton County,12092,1.3,95.6,0.3,0.9,0.0,0.1,19674,23.0,29.7,18.7,21.7,14.4,15.6,85.2,8.3,1.3,0.7,1.2,3.3,23.3,73.1,17.6,9.0,0.4,6.9,108998.1716904905
109,Arkansas,Garland County,97994,5.4,82.6,8.1,0.7,0.5,0.0,25690,19.1,31.8,20.4,25.6,11.2,11.0,79.8,12.0,0.4,1.7,1.2,4.8,21.9,79.2,13.3,7.2,0.2,9.0,133582.62828370408
110,Arkansas,Grant County,18076,2.5,93.0,2.9,0.2,0.0,0.0,25814,14.4,31.4,15.6,21.5,12.6,19.0,85.3,9.5,0.1,1.1,0.9,3.1,29.7,80.7,13.9,5.1,0.3,8.7,141966.43089569637
111,Arkansas,Greene County,44197,2.7,93.9,1.0,0.3,0.3,0.1,22094,15.9,27.8,15.1,22.9,9.8,24.5,86.9,8.8,0.1,1.1,0.9,2.2,20.3,79.2,13.4,7.3,0.1,7.0,117454.14018566062
112,Arkansas,Hempstead County,22154,12.5,55.2,29.5,0.3,0.1,0.4,18817,25.3,26.9,18.4,18.2,13.2,23.3,82.1,12.2,0.2,1.3,1.1,3.1,19.9,75.4,17.4,6.8,0.4,6.4,87085.26439958118
113,Arkansas,Hot Spring County,33480,3.4,82.8,10.9,0.3,0.3,0.0,20868,15.8,30.4,17.9,22.2,13.8,15.7,84.3,11.8,0.6,1.4,0.5,1.4,26.1,79.3,15.3,5.1,0.4,6.2,112418.41204698702
114,Arkansas,Howard County,13472,12.0,65.0,20.9,0.2,0.2,0.0,23627,21.0,27.1,13.6,17.3,17.2,24.8,79.6,13.2,1.2,2.5,0.5,3.0,20.2,77.7,15.9,6.4,0.0,5.7,94871.39767158321
115,Arkansas,Independence County,37097,6.1,89.2,1.9,0.3,0.7,0.0,23056,18.5,29.6,17.1,19.8,13.9,19.6,81.4,12.5,0.2,1.3,1.4,3.2,18.9,78.0,15.6,6.4,0.1,6.0,116992.39554621662
116,Arkansas,Izard County,13521,2.1,93.5,1.9,1.1,0.2,0.0,19737,17.7,30.3,19.6,22.1,10.2,17.8,77.9,14.5,0.0,1.9,1.4,4.3,20.5,75.6,16.1,8.1,0.1,9.6,100306.34480711118
117,Arkansas,Jackson County,17429,2.7,77.2,16.9,0.2,0.0,0.0,19458,25.1,22.3,18.3,20.7,15.4,23.3,83.4,9.4,0.2,1.6,1.3,4.1,19.1,76.0,15.8,7.6,0.5,7.0,63675.510424241416
119,Arkansas,Johnson County,26155,13.7,80.3,1.6,0.2,1.6,0.1,18757,22.5,25.9,15.0,21.0,12.7,25.5,77.8,12.3,0.4,1.7,2.3,5.6,20.5,79.2,14.5,6.2,0.1,4.7,113726.35624441796
120,Arkansas,Lafayette County,7051,1.2,59.3,37.8,0.3,0.4,0.0,25140,23.8,26.9,14.7,22.0,13.9,22.4,82.6,10.1,0.2,2.0,1.2,3.7,25.1,70.3,20.6,8.2,0.9,8.3,78208.4683883971
121,Arkansas,Lawrence County,16777,1.3,95.8,0.9,0.5,0.1,0.0,19422,18.4,27.9,18.4,23.0,12.9,17.9,84.0,10.4,0.2,3.0,1.2,1.2,26.1,73.2,19.6,7.0,0.2,8.2,73252.34659951969
123,Arkansas,Lincoln County,13885,3.6,64.6,31.1,0.4,0.0,0.0,13142,17.9,25.6,22.3,19.5,14.2,18.4,83.3,12.5,0.0,1.3,0.3,2.7,25.1,70.4,24.0,4.6,1.0,8.1,91661.82857194444
124,Arkansas,Little River County,12494,3.3,73.2,20.5,1.3,0.0,0.0,23412,18.8,26.3,13.4,17.9,13.7,28.7,83.9,13.6,0.0,1.1,0.2,1.2,24.8,76.1,19.8,4.1,0.0,10.3,90134.21312676213
125,Arkansas,Logan County,21802,2.9,90.8,2.1,1.1,1.3,0.0,19708,20.2,27.5,19.6,18.7,12.9,21.3,81.5,10.4,0.5,1.5,0.8,5.3,25.6,72.2,19.2,8.5,0.1,8.1,102285.34716856154
126,Arkansas,Lonoke County,71568,4.3,86.5,6.0,0.5,0.7,0.1,25184,12.3,34.6,16.6,23.4,11.7,13.7,86.9,7.7,0.2,2.0,0.7,2.6,27.3,76.8,18.1,4.9,0.2,4.8,152163.67071196833
127,Arkansas,Madison County,15907,5.4,90.2,0.1,1.0,0.4,0.5,23203,17.8,29.3,14.9,20.0,14.8,21.1,80.5,12.2,0.3,1.8,1.2,4.0,31.7,74.8,13.8,11.3,0.0,4.5,140861.4490618244
128,Arkansas,Marion County,16374,2.2,94.7,0.2,1.0,0.4,0.0,19200,19.5,26.0,21.7,21.1,11.5,19.7,80.8,12.6,0.2,1.8,0.1,4.5,22.1,73.7,14.7,11.6,0.0,7.7,130804.27710973944
129,Arkansas,Miller County,43760,3.1,69.4,24.4,0.7,0.5,0.1,22227,21.0,30.3,18.2,24.0,9.0,18.4,86.0,9.3,0.2,1.3,1.1,2.0,18.4,77.0,15.9,7.1,0.0,8.0,116341.90849384088
130,Arkansas,Mississippi County,43534,4.0,58.7,35.1,0.0,0.5,0.0,20378,25.6,22.8,18.0,22.7,11.1,25.3,82.2,14.5,0.3,0.7,1.0,1.3,17.8,77.2,16.7,5.9,0.2,11.6,55752.239076258295
131,Arkansas,Monroe County,7420,2.5,54.4,40.8,0.0,0.5,0.0,20486,28.6,20.5,23.5,26.2,10.6,19.2,76.9,16.6,0.0,2.3,0.8,3.3,22.0,72.4,18.4,9.2,0.0,9.1,83868.61152865323
132,Arkansas,Montgomery County,9059,4.1,90.9,0.3,1.8,1.0,0.0,21480,18.1,29.1,18.5,19.3,20.8,12.3,84.9,10.9,0.2,1.4,0.3,2.3,30.0,67.3,18.8,13.9,0.0,4.4,108353.52085422224
133,Arkansas,Newton County,7898,1.4,94.3,0.0,1.5,0.5,0.0,18053,17.8,27.8,21.1,18.6,16.1,16.5,77.3,11.9,0.7,3.7,1.3,5.1,30.5,59.6,25.0,15.4,0.0,4.0,106550.14839967799
134,Arkansas,Ouachita County,24378,2.1,55.5,40.7,0.2,0.1,0.0,19780,26.0,30.5,17.0,20.1,9.8,22.7,86.3,8.6,0.9,1.8,0.8,1.5,22.2,71.4,23.2,5.5,0.0,8.3,67142.49129205263
135,Arkansas,Perry County,10320,2.8,92.2,2.1,0.5,0.1,0.0,21781,17.8,28.7,18.4,24.1,15.1,13.7,77.3,11.4,0.0,1.2,0.9,9.2,33.3,73.5,17.1,8.7,0.6,6.5,103175.30400449887
137,Arkansas,Pike County,10893,6.5,87.6,2.8,0.4,0.7,0.0,20180,17.3,26.9,17.6,19.1,18.9,17.6,79.5,14.0,0.4,1.8,2.7,1.7,27.7,72.7,17.8,9.2,0.3,5.1,107185.60328877193
138,Arkansas,Poinsett County,24098,2.8,87.4,5.6,0.2,0.1,0.0,18361,21.4,24.3,18.9,21.2,15.1,20.5,82.8,11.5,0.0,1.4,0.6,3.6,24.0,79.3,13.1,7.5,0.1,5.4,74357.23896572214
